Institution,Data Source,Species,Total Length (cm),Fork Length (cm),Difference in Total & Fork Length (cm)
MLML,MLML NMFS Dissection,Rosy Rockfish,21.8,21.8,0
MLML,MLML NMFS Dissection,Rosy Rockfish,23.3,23.3,0
MLML,MLML NMFS Dissection,China Rockfish,29.6,29.6,0
MLML,MLML NMFS Dissection,China Rockfish,30.8,30.8,0
MLML,MLML NMFS Dissection,Kelp Rockfish,34.4,34.4,0
MLML,MLML NMFS Dissection,China Rockfish,28.2,28.2,0
MLML,MLML NMFS Dissection,China Rockfish,32.3,32.3,0
MLML,MLML NMFS Dissection,Rosy Rockfish,21.8,21.8,0
MLML,MLML NMFS Dissection,Kelp Rockfish,37,37,0
MLML,MLML NMFS Dissection,Kelp Rockfish,35.7,35.7,0
MLML,MLML NMFS Dissection,Gopher Rockfish,33.8,33.8,0
MLML,MLML NMFS Dissection,Rosy Rockfish,24.5,24.5,0
MLML,MLML NMFS Dissection,Olive Rockfish,24,24,0
MLML,MLML NMFS Dissection,Gopher Rockfish,19.9,19.9,0
MLML,MLML NMFS Dissection,China Rockfish,12.7,12.7,0
MLML,MLML NMFS Dissection,Olive Rockfish,26.3,26.3,0
MLML,MLML NMFS Dissection,Kelp Rockfish,32.8,32.8,0
MLML,MLML NMFS Dissection,Kelp Rockfish,33.1,33.1,0
MLML,MLML NMFS Dissection,Blue/Deacon Rockfish,26.5,26.5,0
MLML,MLML NMFS Dissection,Gopher Rockfish,32.6,32.6,0
MLML,MLML NMFS Dissection,Kelp Rockfish,31.6,31.6,0
MLML,MLML NMFS Dissection,Kelp Rockfish,32.5,32.5,0
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,20,17,3
MLML,MLML CCFRP Sampling Trips,Black Rockfish,36,33,3
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,28,3
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,34,32,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,28,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,50,48,2
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,29,27,2
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,41,39,2
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,35,33,2
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,37,35,2
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,36,34,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,50,48,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,28,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,29,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,26,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,45,43,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,55,53,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,28,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,32,30,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,31,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,28,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,46,44,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,50,48,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,52,50,2
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,59,57,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,32,30,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,24,2
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,37,36,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Yellowtail Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,18,17,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,18,17,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,39,38,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,38,37,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,43,42,1
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,38,37,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,46,45,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,40,39,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,41,40,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,18,17,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,42,41,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,42,41,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,45,44,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,38,37,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,19,18,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,44,43,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,37,36,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,24,23,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,39,38,1
MLML,MLML CCFRP Sampling Trips,Yellowtail Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,21,20,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,48,47,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,47,46,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,19,18,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Canary Rockfish,19,18,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Yellowtail Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Yellowtail Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,24,23,1
MLML,MLML CCFRP Sampling Trips,Yellowtail Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,20,19,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,50,49,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,51,50,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,21,20,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,28,27,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,24,23,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,30,29,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,24,23,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,20,19,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,21,20,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,26,25,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,47,46,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,24,23,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,22,21,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,27,26,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,23,22,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,19,18,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,44,43,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,37,36,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,35,34,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,43,42,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,32,31,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,44,43,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,40,39,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,33,32,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,45,44,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,36,35,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,40,39,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,42,41,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Black Rockfish,38,37,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,39,38,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,41,40,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,46,45,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,50,49,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,38,37,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,34,33,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
MLML,MLML CCFRP Sampling Trips,Vermilion Rockfish,41,40,1
MLML,MLML CCFRP Sampling Trips,Olive Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,29,28,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,31,30,1
MLML,MLML CCFRP Sampling Trips,Blue/Deacon Rockfish,25,24,1
