Institution,Data Source,Species,Total Length (cm),Fork Length (cm),Difference in Total & Fork Length (cm)
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,31,28,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,60,57,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,60,57,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,62,59,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,60,57,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,34,31,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,62,59,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,25,22,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,33,30,3
MLML,Brooks Canary Project,Canary Rockfish,34,31,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,36,33,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,38,35,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,35,32,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,36,33,3
MLML,Brooks Canary Project,Canary Rockfish,35,32,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,38,35,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,39,36,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,35,32,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
MLML,Brooks Canary Project,Canary Rockfish,34,31,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,61,58,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,32,29,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,33,30,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,58,55,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,63,60,3
MLML,Brooks Canary Project,Canary Rockfish,59,56,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,57,54,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,50,47,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,40,37,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,56,53,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,49,46,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,54,51,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,41,38,3
MLML,Brooks Canary Project,Canary Rockfish,38,35,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,53,50,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,55,52,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,52,49,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,46,43,3
MLML,Brooks Canary Project,Canary Rockfish,45,42,3
MLML,Brooks Canary Project,Canary Rockfish,48,45,3
MLML,Brooks Canary Project,Canary Rockfish,42,39,3
MLML,Brooks Canary Project,Canary Rockfish,51,48,3
MLML,Brooks Canary Project,Canary Rockfish,44,41,3
MLML,Brooks Canary Project,Canary Rockfish,47,44,3
MLML,Brooks Canary Project,Canary Rockfish,43,40,3
MLML,Brooks Canary Project,Canary Rockfish,37,34,3
Cal Poly,Cal Poly CCFRP Trip,Blue/Deacon Rockfish,35,32,3
MLML,Brooks Canary Project,Canary Rockfish,33,31,2
MLML,Brooks Canary Project,Canary Rockfish,43,41,2
MLML,Brooks Canary Project,Canary Rockfish,44,42,2
MLML,Brooks Canary Project,Canary Rockfish,39,37,2
